"IP: 10.60.46.6"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.9"," Имя принтера Samsung ML-375x Series PCL 6","" Имя порта 10.60.46.16"
"IP: 10.60.46.9"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.9"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.12"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.21"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.21"," Имя принтера Samsung ML-375x Series PCL 6","" Имя порта 10.60.46.16"
"IP: 10.60.46.21"," Имя принтера HP Deskjet 3540 series","" Имя порта USB001"
"IP: 10.60.46.30"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.30"," Имя принтера HP Universal Printing PCL 5","" Имя порта DOT4_001"
"IP: 10.60.46.30"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.48"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.48"," Имя принтера Kyocera FS-1030D","" Имя порта USB001"
"IP: 10.60.46.48"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.52"," Имя принтера Kyocera FS-1030D","" Имя порта USB002"
"IP: 10.60.46.52"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.52"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.68"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.68"," Имя принтера hp LaserJet 1320 PCL 6","" Имя порта DOT4_001"
"IP: 10.60.46.68"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.79"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.79"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.79"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
"IP: 10.60.46.99"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.99"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.101"," Имя принтера Microsoft XPS Document Writer","" Имя порта XPSPort:"
"IP: 10.60.46.101"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.102"," Имя принтера Samsung ML-3050 Series","" Имя порта LPT1:"
"IP: 10.60.46.102"," Имя принтера Samsung ML-2850 Series PCL6","" Имя порта USB001"
"IP: 10.60.46.102"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.104"," Имя принтера Samsung ML-375x Series PCL 6","" Имя порта USB002"
"IP: 10.60.46.104"," Имя принтера Microsoft Office Document Image Writer","" Имя порта Microsoft Document Imaging Writer Port:"
"IP: 10.60.46.104"," Имя принтера Fax","" Имя порта SHRFAX:"
"IP: 10.60.46.104"," Имя принтера Brother HL-5250DN series","" Имя порта USB001"
